日期,科普信息,疫情态势,疫情影响,捐助公益,求助信息,政府政策,人物故事,公众心理,无效信息,新增确诊
2020-03-04,11519,8800,7593,6479,6441,13250,8329,39727,37815,139
2020-03-05,8167,9646,7928,8840,9019,11265,12520,47203,38002,143
2020-03-06,7719,10158,8230,9013,7808,8106,15455,44809,34905,99
2020-03-07,6759,8497,5498,10259,8388,7411,21423,41211,34768,44
2020-03-08,5520,7031,6007,7565,5941,6421,12886,38877,35940,40
2020-03-09,4280,5564,6516,4871,3494,5431,4348,36543,37112,19
2020-03-10,9710,8612,10082,25005,9177,8659,5640,60246,48479,24
2020-03-11,11140,8835,8721,26742,10355,12017,5259,49486,47305,15
2020-03-12,8233,8605,8564,9820,4293,7040,3945,54293,45903,8
2020-03-13,7515,9173,10547,7136,11153,7807,4232,61895,49917,11
2020-03-14,10852,11418,8669,5825,11132,8462,4797,64833,39356,20
2020-03-15,9661,9085,6862,6573,12467,8556,5802,65147,37170,16
2020-03-16,8983,11194,11855,5622,13057,9254,6507,63396,48288,21
2020-03-17,9595,9139,10596,5487,11723,8345,6592,56395,47113,13
2020-03-18,8706,9613,10752,6339,13789,6865,7125,69362,56151,34
2020-03-19,7747,9269,10018,5134,13634,9649,8649,73612,44902,39
2020-03-20,6256,9364,8131,5017,11226,8918,8693,79986,66200,41
2020-03-21,5669,10614,8030,6346,13746,7527,5476,64106,61193,46
2020-03-22,6392,11531,7530,5109,13005,7054,4114,53787,49085,39
2020-03-23,6642,9062,9934,5146,13005,6935,4416,52485,57641,78
2020-03-24,13676,10317,9415,5120,10663,9812,4863,56327,57398,47
2020-03-25,8975,8282,8279,4830,9189,9685,4936,54927,62807,67
2020-03-26,5469,9553,8374,5346,11794,7068,6492,57936,66662,55
2020-03-27,7660,9756,8463,4771,12792,6240,5282,67067,87025,54
2020-03-28,7088,9566,7523,4607,13246,5317,5543,59697,69560,45
2020-03-29,6515,9376,6583,4443,13700,4394,5803,52327,52095,31
2020-03-30,5908,9681,8273,3910,12260,4990,4540,51409,41865,48
2020-03-31,4904,6514,8375,3472,12789,4928,3548,43266,42638,36
2020-04-01,6341,7460,7798,5734,13430,6425,3596,51748,74861,35
2020-04-02,6111,7267,7514,5608,13491,6508,4775,46644,56169,31
2020-04-03,5409,6098,6447,3773,12489,5731,4211,44468,42137,19
2020-04-04,6058,6927,4399,2091,2724,6907,7436,94496,42384,30
2020-04-05,6649,7272,4120,3953,13148,6669,3536,56387,51838,39
2020-04-06,6826,7932,5117,3646,13991,6166,3307,52001,66722,32
2020-04-07,5718,7317,7766,5046,11607,9410,3879,43398,50893,62
2020-04-08,4701,6062,6946,5186,12198,6769,3491,36782,37002,63
2020-04-09,7203,10287,10445,10720,19033,13939,4702,48643,51706,42
2020-04-10,9704,14512,13943,16253,25867,21108,5912,60504,66409,46
2020-04-11,13054,19498,10949,12140,26394,21805,6340,103372,104052,99
2020-04-12,15441,16003,10311,13239,26512,17594,6724,84101,121913,108
2020-04-13,6031,8163,5965,7161,11445,8303,2879,30468,36160,89
2020-04-14,4517,6954,6439,4887,11935,7970,2899,28843,28583,46
2020-04-15,6160,6378,6611,6261,11783,6574,2428,26556,27793,46
